,NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,df_index
27000,170002761418,2017,2307700,Maranguape,23,CE,21,F,0,3,1,2304400,Fortaleza,23,CE,1,5,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307700,Maranguape,23,CE,1,1,1,1,393,397,402,406,433.2,559,563.5,647.8,CCCCEEAEEDCEEACCEDDCDBEACBAECCCDBDEEBAACEDBEA,AEAECBEEEBABEDDCAEBBBBABEACEAAAAEDAEBBEDADBED,DDEDE99999BABADEBEADCDBBDDBAEAAAAABABEABEEDEDBAEAE,EECDABBCBDEDBABDCBBAACBCEABDADEACDBCDBDDDAADB,0,CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA,ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC,DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE,EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC,1,160,120,120,140,100,640,E,E,C,B,7,C,A,B,D,B,A,B,B,A,A,A,A,A,B,B,B,E,A,A,A,A,A,27000
28000,170004539606,2017,4307807,Estrela,43,RS,21,F,0,1,1,4307807,Estrela,43,RS,1,4,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4307807,Estrela,43,RS,1,1,1,1,392,395,399,404,492.3,530.1,478.9,526.8,DBDBDCEAEEAABAAACACEABADBCDBBBCEBAAEEDABDEAAA,BCCCCCCEDABABDDAABAEAEAEAEDABEDDEEAEACBCECCBA,99999DCBDDBDAECBEEADDDADAADEECEBDBCCDBCDEAEADEBEBE,ADCADEDEDBDBECBEABBCDBAADDADDCBBDBBBCEEBCBDBD,1,BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC,1,160,120,120,120,80,600,D,D,C,A,2,C,A,B,C,A,A,B,A,B,A,A,A,A,B,B,A,C,A,B,B,A,A,28000
29000,170004512519,2017,2101608,Barra do Corda,21,MA,30,F,1,1,1,2112308,Tuntum,21,MA,1,10,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101608,Barra do Corda,21,MA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,D,A,A,6,C,A,C,C,B,B,B,A,B,A,A,A,A,B,B,A,B,B,B,B,A,A,29000
30000,170006203424,2017,2408102,Natal,24,RN,32,M,0,3,1,2408003,Mossoró,24,RN,3,0,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408102,Natal,24,RN,1,1,1,1,391,395,399,403,446.6,334.7,412.7,497.5,BDCBADBEDDEDACCDCDBBADDBDBDACDEBCABDCDBD*CBEA,DACDABCCDBCBDDB..............................,ECCBD99999CBDDBDBBECCDBBAEEBDBDECABCBBBCEBDBEEADDB,DEBAEECDBDEBEDBAACAECBEBDCDCDAA*ADCDCBDABADCC,0,DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD,1,120,100,80,100,40,440,A,B,A,A,1,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,C,A,30000
31000,170004539556,2017,2111300,São Luís,21,MA,22,F,0,3,1,2111300,São Luís,21,MA,1,4,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111300,São Luís,21,MA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,D,A,B,4,C,A,B,C,B,A,B,A,A,A,B,A,A,B,A,A,D,B,A,B,A,A,31000
32000,170002767494,2017,2303709,Caucaia,23,CE,20,F,0,1,1,2304400,Fortaleza,23,CE,1,3,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303709,Caucaia,23,CE,1,1,1,1,393,397,402,406,432.9,486,463,380,BADDDACBADADCAABDDACBDEDCDCBABDCCDEBCDBECBCCC,ACACDDECBCACECABEADDADDCDBAEEAEABDBABDEADDBCA,99999ADCDCDAEAEEAADDCBBACDBECECBAAEABCCADBDCDABACD,EADCAACACDEBAEBDDCCBBDAACBACAEECCEDAADBDEDBBC,1,CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA,ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC,DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE,EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC,1,140,120,100,100,100,560,E,D,B,B,5,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A,A,A,32000
33000,170006194602,2017,1502301,Capitão Poço,15,PA,33,F,0,3,1,1502301,Capitão Poço,15,PA,1,11,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502301,Capitão Poço,15,PA,1,1,1,1,391,396,400,403,510.9,408.7,432.2,577.5,BBABCCABDCAABBACBAADBBCAACCBBECECBCECDBDBACAB,CEADDDAABABDCABCAACBDBBADBABECBCDECBDDABBC*EC,99999BBCBCBDEBBCBCCCEDBACEDAAADAEDBCCBEBBCBEADCBAB,CCBCEACBBBDCEBBCAEABCDAABCDCDBBDAACDBBCDABDCA,1,DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD,1,80,100,80,80,40,380,C,B,B,A,4,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,33000
34000,170002838382,2017,3152808,Prata,31,MG,25,F,0,4,1,3152808,Prata,31,MG,1,8,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3170206,Uberlândia,31,MG,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,B,B,B,3,D,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,C,B,B,B,A,A,34000
35000,170001101226,2017,1507102,São Caetano de Odivelas,15,PA,22,F,0,3,1,1507102,São Caetano de Odivelas,15,PA,1,5,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508209,Vigia,15,PA,1,1,1,1,392,396,400,404,466.1,438.5,456.6,423.2,BCECEAECEEACABAADDBDEBDCDBBEAEBDEBD*CEADADECA,EAECABECDAEDAEAADADEBEACEEAEDDEEBEEEBAEEEDDDB,99999DAEBEBDCCDEDAADECEACCBEEECDEBAAADAADCBDEABBCE,ACBAABADDABDCEBBEBCDCEACDEDCABECBDEBDEDADDEED,1,BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC,1,120,120,120,120,80,560,E,C,A,A,7,B,A,B,E,A,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,35000
36000,170004539276,2017,3152501,Pouso Alegre,31,MG,18,F,0,2,1,3152501,Pouso Alegre,31,MG,3,0,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152501,Pouso Alegre,31,MG,1,1,1,1,393,398,401,406,450.9,477.5,463.7,385.1,DADBEADEBCAEAACADABEBBDDCEDEDDAEDCEAEDABADABC,DACBCABBCDAAEECBAAEAADCCEBABDEBDCABCBBEDEBACD,BEEAC99999DDECEEAEBBADEBEAAEDDEACDBBDCBBDBBADDEBAB,CAABAECDECCCAEDCCADBDDBAEDACBEDAEBAEDDEBABCDA,0,CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA,DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB,DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED,EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC,1,140,120,120,120,80,580,C,D,C,B,3,D,A,B,D,A,A,B,A,B,A,B,A,B,B,B,B,D,B,A,B,C,A,36000
