,NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,df_index
0,180008202043,2018,5300108,Brasília,53,DF,44,M,1,1,0,,,,,2,0,2,1,0,52033333,5208707,Goiânia,52,GO,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5210208,Iporá,52,GO,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,A,A,A,A,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,0
1000,180008205455,2018,5300108,Brasília,53,DF,18,F,0,2,1,2507507,João Pessoa,25,PB,2,0,4,3,0,53004949,5300108,Brasília,53,DF,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5300108,Brasília,53,DF,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,D,C,F,F,4,B,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,C,A,B,B,B,C,1000
2000,180008421607,2018,4104253,Campo Magro,41,PR,17,F,0,1,1,4106902,Curitiba,41,PR,2,0,2,1,0,41406826,4104253,Campo Magro,41,PR,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4104253,Campo Magro,41,PR,1,1,1,1,447,454,457,459,417.4,481.5,496.5,504.3,ACCCBECAEAEACDBCEEDBCCBDCCDBBDBCDCDCAEEBEBABE,AADAAEDBCAAECBBBDEDCBEABCBEDBEDCDADBEAEBBBBBB,99999BBDEBCDDBCEDEBDCBDEDBBBBCCDBBDDEAEBDDABEACDAE,CCDBCCACBADADCECDACCADDAADCDCCDCCDDCBCDBACDBA,1,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,100,40,40,100,40,320,D,F,C,B,4,H,A,B,C,C,A,B,A,B,A,B,A,B,B,A,A,D,A,A,B,B,A,2000
3000,180007659627,2018,5108402,Várzea Grande,51,MT,42,F,,3,1,5103403,Cuiabá,51,MT,1,1,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5108402,Várzea Grande,51,MT,0,1,1,0,,452,456,,,586.2,435.6,,,CCEBAAEBAAACEEEEDEECCCAECCCCEBCCDDCBCEABEBCAC,99999DCBBADDEECBBBEDADACBEBDCADEDBDBEEDBAECECEDDDC,,1,,AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC,BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB,,1,120,120,100,100,60,500,C,B,B,B,5,G,A,B,C,B,A,B,B,B,B,A,A,A,B,A,A,C,A,A,B,A,A,3000
4000,180008415677,2018,2704302,Maceió,27,AL,30,F,0,3,1,2704302,Maceió,27,AL,1,9,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704302,Maceió,27,AL,1,1,1,1,448,452,456,460,401.1,573.5,466.8,509.8,ECDDDCCEDBDBBBBDCCCEBEDBDBDBCBBEAADCAADCBEDDC,CDEECCBEDEAECCDEDDEDCDEDBEBECCCDDCDBCEADCBBDC,99999DDBDAACBEDCCADDBCCAACCBEADAAEEBDAAADCBABCDAED,CBDBCBACCDAABABBDEDECBCBCDBDBECDCECCDEBACDDCA,1,BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA,AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC,BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB,ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD,1,120,40,40,120,20,340,E,B,C,B,4,E,A,B,C,A,A,B,A,A,A,A,A,A,C,A,A,E,B,B,B,A,A,4000
5000,180008415766,2018,4313300,Nova Prata,43,RS,19,F,0,1,1,4313300,Nova Prata,43,RS,1,2,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4313300,Nova Prata,43,RS,1,1,1,1,450,454,457,461,628,652.6,581.7,440.7,EBECEEBAECBDACCCECDCECDEBDCCCEBCCDABCAAECCEBB,CDCCAABEDAEDBDDDDEABEBEBCEEDEEDDEAECCCDDADCDA,99999BBCECEEACEBBEEEAAAEABEEDEEEAEECECEBECADABEAED,ECDACBBECBCCCCCCCCCDCCCCCDDCCDCACAECCDCCECCCA,1,ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX,1,160,160,160,180,200,860,E,E,D,B,5,L,A,D,D,B,A,B,A,B,A,A,A,B,C,B,A,D,A,C,B,A,A,5000
6000,180008743227,2018,5200258,Águas Lindas de Goiás,52,GO,19,M,0,3,1,2103307,Codó,21,MA,1,2,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5200258,Águas Lindas de Goiás,52,GO,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,C,B,B,5,D,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A,A,A,6000
7000,180008422414,2018,2307304,Juazeiro do Norte,23,CE,17,F,0,3,1,2307304,Juazeiro do Norte,23,CE,2,0,2,1,0,23165430,2307304,Juazeiro do Norte,23,CE,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307304,Juazeiro do Norte,23,CE,1,1,1,1,450,453,458,461,390.9,600.5,598.7,564.5,DECDBCBEEDCBCABCCCCEBACBCBACDCBECEECBBABEADEE,ECEAAAECBAEDBAAAEECDCAADEDCEAAEACAEAAEBBBEBEA,99999DBCBBAACABCAEBDDBABEBACEBBDDABBCCBDCEEDEBABAD,DCBDAECEBDDEECDDCDDEEBECBDBBAEACDCBBCEDCADCCE,1,ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB,ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE,BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED,EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX,1,120,100,100,100,60,480,H,B,F,B,2,B,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,B,B,7000
8000,180008967109,2018,2908408,Conceição do Coité,29,BA,19,M,0,1,1,2926301,Riachão do Jacuípe,29,BA,1,2,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2908408,Conceição do Coité,29,BA,1,1,1,1,449,454,457,462,427.9,543.1,426.1,457.8,DCBBBAEBEDBACADCDCABDEDBCBADDEBEDCACBECBDACEB,BECCADEBACDAECBDAECBACCEBDBEDCBDEABCAEBDACEBD,DDBCA99999CBBEACCADCEBBDACBECDABBECDCEBBCDBAACEBBD,ACBCEADBECDBACDECABBDECADCBEACBCCADBECBDEAACD,0,EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA,1,120,40,40,100,40,340,E,E,B,B,4,C,A,B,D,A,A,B,A,A,A,A,A,A,B,A,A,D,A,B,B,A,A,8000
9000,180008425794,2018,2504009,Campina Grande,25,PB,21,F,0,3,1,2504009,Campina Grande,25,PB,1,3,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504009,Campina Grande,25,PB,1,1,1,1,447,454,457,459,393.2,634.8,360.9,405.1,AABDAABBECDDACEBCEEBCBDEDEBEBCAABDDDEAEEECBCC,CEECDDBBECECAADDAECDEBECEEEBDEBEBBDCCCBAACEEA,CBDAC99999EBACDACADBBCABDACEADBECABADCBCADCBCABBAC,ABDDDCBEECDEECEBCAACABDDEDACBAABDADABCDBCADDD,0,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,120,120,160,120,160,680,C,C,C,B,2,C,A,C,C,A,A,B,A,B,A,B,A,A,B,B,A,C,A,B,B,A,A,9000
