,NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,df_index
10000,180007788753,2018,5005400,Maracaju,50,MS,16,M,0,1,1,5005400,Maracaju,50,MS,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5005400,Maracaju,50,MS,1,1,1,1,449,452,456,462,437.5,437.2,477.1,441.6,CEBCABABCDBCCCCABBACCEBCBBABCABAEBAABBABBDCDB,DBDADCACBBADCCADBCADCDACBCBACBBBCBDACACACBBBB,99999DBBAEABECCCCCABAACDAAEABBDBABABDBDDADACEAADCA,CDEBACDBBABCDBCBADADBCAABDCCECBDAACCACACCECED,1,EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE,AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC,BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB,ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA,6,0,0,0,0,0,0,E,D,A,F,3,E,B,C,D,B,A,B,B,B,A,B,B,A,C,A,B,E,A,B,B,C,A,10000
11000,180007845930,2018,2304400,Fortaleza,23,CE,18,F,0,3,1,2304400,Fortaleza,23,CE,2,0,2,1,0,23064684,2304400,Fortaleza,23,CE,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,450,454,457,461,521.8,602.7,532.8,486.3,CCBCAABEABEDACDCEDDACABBBBECBBDCCEEEAACCDBEEE,EEECAEBBABECADEDAEAABAEEDEBDEDCDEABABAACECDAB,99999DBDEEDCACCEDBCDAECDABEADEC*BCCADCBBACBCBBCABE,DADDBEEBACBACAABCBDBDBDCACBDAEBDCECACCDCBCCDB,1,ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX,1,160,40,40,160,40,440,E,E,C,B,4,C,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,C,A,B,B,B,A,11000
12000,180008649361,2018,1302504,Manacapuru,13,AM,25,F,0,3,1,1302504,Manacapuru,13,AM,1,8,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302504,Manacapuru,13,AM,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,C,A,A,4,C,A,B,D,A,A,A,B,B,A,A,A,A,B,B,A,D,A,A,A,A,A,12000
13000,180008545563,2018,3122306,Divinópolis,31,MG,17,F,0,3,1,3122306,Divinópolis,31,MG,2,0,4,1,0,31041262,3122306,Divinópolis,31,MG,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122306,Divinópolis,31,MG,1,1,1,1,449,454,457,462,640.8,659.4,606,736.9,CBBEDBCBCDBDDABADCEDDDBAECEEDEBAAAEACBCBBCADE,CEECAEBBDCCDBDCDEDABBBBAEEABEEBEDAECCDBDDACCD,CBCDB99999DCBDEAAEAEEEEBDBDCDABDBCBCDCBBACADCBAADD,ACCBCDDCADAEDADCADEABCAEEBBAAEEDEBCBCEBAAAADA,0,EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA,1,160,180,160,160,140,800,E,E,E,C,2,G,A,C,D,B,A,B,B,B,B,B,A,A,B,B,B,C,A,B,B,B,D,13000
14000,180008384719,2018,3106200,Belo Horizonte,31,MG,28,M,0,2,1,3106200,Belo Horizonte,31,MG,1,11,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106200,Belo Horizonte,31,MG,1,1,1,1,448,451,455,460,617.7,677.2,570.9,738.4,BCACEEECEDEBEEECADDEDAABACBEABADCADCBCBDDBAAE,CACDCEDAECCADEEEBBEACEABDBBEDACDCEBEBDCAABCEE,99999EECEBACDBAEABADAEEDEDBCADABAAEDABCDBEDEBEAABC,DDAECCEBBDADBEAEBBDEECDBCCADADDDBDBDBBACDCDCA,1,BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA,CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE,BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA,ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD,1,160,120,160,120,60,620,H,D,F,B,5,D,A,B,D,B,A,B,A,A,A,B,A,A,B,A,B,D,B,B,B,A,A,14000
15000,180007798865,2018,1506807,Santarém,15,PA,44,F,0,3,1,1506807,Santarém,15,PA,1,12,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506807,Santarém,15,PA,1,1,1,1,447,454,457,459,597.8,643.2,577.8,631.3,BCDBAACBCEDBBEACCDBDBBACDCDCCEEABCCBBDEEBBCAD,CEDCAABBEACDADCDAEBBBAEEBEABCEBEDCEACDBDAECCC,99999CBDEEECEDCCBEEDEBACDBECDDBDBCBCBCBCBADBABAEED,BDCBDBBCBBACBDCBCBABDCEADCBCECECBDABEBDABDCAB,1,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,120,120,120,120,80,560,B,B,A,A,3,B,A,B,D,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,15000
16000,180007636349,2018,2408102,Natal,24,RN,24,F,0,3,1,2408102,Natal,24,RN,1,7,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408102,Natal,24,RN,1,1,1,1,448,454,457,460,456.4,601,577.8,498,ECBDEDEBEBCBADCAAECBBDEEDAADECBBDCCDCCCACACCD,EEACBABEDEEABDBDAEADDDADCEECEEAADEABBBBAAADCD,99999BBCCCAACDEABECCEAECADEBDEBDAADCEABCDCADABCCAD,ECDEACABDBAEADDEECDCEDAEBEACEECEADDDBDBCCBBAB,1,BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD,1,120,120,120,100,60,520,B,B,B,B,5,C,A,B,D,A,B,B,A,A,A,B,A,A,B,B,A,E,A,B,B,A,A,16000
17000,180008716382,2018,3505708,Barueri,35,SP,19,F,0,3,1,3505708,Barueri,35,SP,1,1,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3505708,Barueri,35,SP,1,1,1,1,447,454,457,459,497.5,631.8,603.8,470.3,DABCDEBBEECEEDEDCADEADADEEDADEEEACADADECBEBCB,EEEEAEBAAAEEBCEDAEABBDEBEDEBDEACCCEBCBDAACCCA,CDEEC99999DAADEEAEAECAEEAEDADACEBABCECBBABACAAECED,CAEDCCAEEADAEADCBDDCBDDADBABEEEAACDBDAACBDAEB,0,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,180,200,180,200,200,960,D,D,B,B,2,C,A,B,B,A,A,B,B,B,B,A,A,A,B,A,A,C,A,B,B,A,A,17000
18000,180008395638,2018,1503705,Itupiranga,15,PA,20,F,0,1,1,1501402,Belém,15,PA,1,2,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503705,Itupiranga,15,PA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,D,E,C,D,5,C,A,C,C,A,A,B,B,A,A,B,A,A,A,A,A,E,A,A,A,A,A,18000
19000,180007910486,2018,5101803,Barra do Garças,51,MT,19,F,0,3,1,5201702,Aragarças,52,GO,2,0,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5101803,Barra do Garças,51,MT,1,1,1,1,448,454,457,460,428.2,453.2,527.6,415.8,CEBDEEDEECDBAECEBBCEBCCCDEBCCBCBAECABCEEAADDC,.ECCACAEDBCCBDBBADBAECABCAABEBBCEEABBCABAECEA,99999....DBCEDDDBABACBECACAAAEADADDEEABBAEBDCBEAEA,CCCBBBCCBCBBDDEDEEBAEEEEDACEAECBBBACCBBCCBA*D,1,BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD,1,120,120,120,120,60,540,H,H,A,B,5,B,A,B,C,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,19000
